# r_R	chord (mm)	pitch(deg)
1.733333333333333393e-01	3.273820252323435653e+01	4.123646058773963574e+01
1.981333333333333280e-01	3.368217743990319235e+01	3.811172008436157199e+01
2.229333333333333167e-01	3.487994652670150941e+01	3.564852771919959906e+01
2.477333333333333609e-01	3.631132715640596587e+01	3.372520278811227712e+01
2.725333333333333496e-01	3.784048903480670845e+01	3.216558521007092963e+01
2.973333333333333384e-01	3.928757374260958812e+01	3.087415991153307360e+01
3.221333333333333826e-01	4.047066788679913429e+01	2.975337904738034567e+01
3.469333333333333713e-01	4.127928569785824209e+01	2.872304918142561547e+01
3.717333333333333600e-01	4.171652883966003600e+01	2.773052820102940075e+01
3.965333333333333488e-01	4.192613042503203502e+01	2.675599649043951445e+01
4.213333333333333375e-01	4.207240258862208293e+01	2.580432562316206457e+01
4.461333333333333262e-01	4.209790338673054322e+01	2.488668546789308778e+01
4.709333333333334259e-01	4.171788170175715749e+01	2.404945595011768589e+01
4.957333333333333036e-01	4.105696743817991745e+01	2.326277809354675696e+01
5.205333333333334034e-01	4.027727349743186380e+01	2.250457340818037721e+01
5.453333333333334476e-01	3.942488211027018252e+01	2.177301896664936010e+01
5.701333333333333808e-01	3.846583376131214038e+01	2.107295772301313264e+01
5.949333333333334251e-01	3.738384063662490320e+01	2.040447508126348097e+01
6.197333333333333583e-01	3.621764409394331352e+01	1.976353061113681875e+01
6.445333333333334025e-01	3.502081212436924318e+01	1.914708270255841427e+01
6.693333333333333357e-01	3.382551870767726854e+01	1.855439603945748317e+01
6.941333333333333799e-01	3.265179767812344380e+01	1.798563207453423018e+01
7.189333333333333131e-01	3.153009087395901133e+01	1.744019189932292235e+01
7.437333333333333574e-01	3.050155172879383514e+01	1.691489063164746653e+01
7.685333333333334016e-01	2.960548741189053601e+01	1.640765206838829116e+01
7.933333333333334458e-01	2.888066682225406367e+01	1.592451117013221662e+01
8.181333333333333790e-01	2.837287590182869934e+01	1.546918721933581686e+01
8.371435765196104661e-01	2.815324470586306305e+01	1.512800309204387972e+01
8.559455395033899183e-01	2.808170205038296885e+01	1.479176267134060474e+01
8.743332240436572089e-01	2.814156283098406419e+01	1.448701769199786327e+01
8.921051708207187181e-01	2.830182285586278113e+01	1.424420969762599576e+01
9.090666666666668005e-01	2.847701225750893173e+01	1.406407089686873135e+01
9.250318778835910916e-01	2.848956293690490327e+01	1.393554014408731589e+01
9.398258862764642396e-01	2.814088468792916942e+01	1.384066139252908911e+01
9.532866055934887672e-01	2.728439852493297835e+01	1.375505200503741499e+01
9.652665573769904084e-01	2.583498438970128674e+01	1.367405589322703108e+01
9.756344867682632538e-01	2.384884007330810363e+01	1.362172593844485036e+01
9.842768005632676065e-01	2.157579802415711612e+01	1.362375347672508852e+01
9.910988117635451955e-01	1.937116565523190914e+01	1.367008921740787031e+01
9.960257769867880695e-01	1.755675130100436121e+01	1.372458954595900060e+01
1.000000000000000000e+00	1.596054175097094863e+01	1.377090957335648191e+01
