# r_R	chord (mm)	pitch(deg)
1.733333333333333393e-01	2.619056201858749233e+01	5.523646058773964285e+01
1.981333333333333280e-01	2.694574195192255317e+01	5.211172008436159331e+01
2.229333333333333167e-01	2.790395722136121037e+01	4.964852771919959196e+01
2.477333333333333609e-01	2.904906172512477625e+01	4.772520278811227712e+01
2.725333333333333496e-01	3.027239122784537528e+01	4.616558521007094384e+01
2.973333333333333384e-01	3.143005899408767334e+01	4.487415991153307004e+01
3.221333333333333826e-01	3.237653430943930744e+01	4.375337904738034212e+01
3.469333333333333713e-01	3.302342855828659651e+01	4.272304918142561547e+01
3.717333333333333600e-01	3.337322307172804159e+01	4.173052820102942206e+01
3.965333333333333488e-01	3.354090434002563370e+01	4.075599649043952866e+01
4.213333333333333375e-01	3.365792207089766919e+01	3.980432562316205036e+01
4.461333333333333262e-01	3.367832270938444594e+01	3.888668546789310199e+01
4.709333333333334259e-01	3.337430536140572457e+01	3.804945595011768944e+01
4.957333333333333036e-01	3.284557395054394391e+01	3.726277809354674986e+01
5.205333333333334034e-01	3.222181879794549531e+01	3.650457340818039853e+01
5.453333333333334476e-01	3.153990568821614815e+01	3.577301896664933878e+01
5.701333333333333808e-01	3.077266700904970520e+01	3.507295772301312553e+01
5.949333333333334251e-01	2.990707250929992611e+01	3.440447508126349874e+01
6.197333333333333583e-01	2.897411527515465224e+01	3.376353061113681520e+01
6.445333333333334025e-01	2.801664969949540307e+01	3.314708270255843559e+01
6.693333333333333357e-01	2.706041496614181696e+01	3.255439603945747251e+01
6.941333333333333799e-01	2.612143814249875362e+01	3.198563207453423374e+01
7.189333333333333131e-01	2.522407269916721262e+01	3.144019189932294367e+01
7.437333333333333574e-01	2.440124138303506740e+01	3.091489063164745588e+01
7.685333333333334016e-01	2.368438992951242739e+01	3.040765206838831247e+01
7.933333333333334458e-01	2.310453345780324952e+01	2.992451117013220596e+01
8.181333333333333790e-01	2.269830072146295308e+01	2.946918721933580088e+01
8.371435765196104661e-01	2.252259576469044688e+01	2.912800309204386551e+01
8.559455395033899183e-01	2.246536164030637650e+01	2.879176267134058875e+01
8.743332240436572089e-01	2.251325026478724922e+01	2.848701769199785261e+01
8.921051708207187181e-01	2.264145828469022703e+01	2.824420969762601530e+01
9.090666666666668005e-01	2.278160980600715035e+01	2.806407089686872425e+01
9.250318778835910916e-01	2.279165034952392332e+01	2.793554014408731234e+01
9.398258862764642396e-01	2.251270775034333127e+01	2.784066139252906780e+01
9.532866055934887672e-01	2.182751881994638765e+01	2.775505200503743453e+01
9.652665573769904084e-01	2.066798751176103011e+01	2.767405589322701331e+01
9.756344867682632538e-01	1.907907205864648148e+01	2.762172593844484325e+01
9.842768005632676065e-01	1.726063841932569431e+01	2.762375347672508141e+01
9.910988117635451955e-01	1.549693252418552802e+01	2.767008921740787386e+01
9.960257769867880695e-01	1.404540104080349039e+01	2.772458954595899883e+01
1.000000000000000000e+00	1.276843340077675748e+01	2.777090957335651566e+01
