Node_ID	X(mm)	Y(mm)	Z(mm)
1	0.005181465	0.009542838	0.023500000
2	0.004254716	0.008600335	0.023500000
3	0.003292886	0.007695862	0.023500000
4	0.002363235	0.006783978	0.023500000
5	0.001458526	0.005878320	0.023500000
6	0.000577877	0.004987446	0.023500000
7	-0.000276065	0.004117006	0.023500000
8	-0.001098724	0.003270915	0.023500000
9	-0.001884443	0.002451982	0.023500000
10	-0.002626941	0.001662264	0.023500000
11	-0.003319572	0.000903314	0.023500000
12	-0.003955547	0.000176477	0.023500000
13	-0.004528212	-0.000516745	0.023500000
14	-0.005031479	-0.001174188	0.023500000
15	-0.005460486	-0.001792445	0.023500000
16	-0.005812536	-0.002366319	0.023500000
17	-0.006088217	-0.002888593	0.023500000
18	-0.006292294	-0.003350399	0.023500000
19	-0.006408375	-0.003748848	0.023500000
20	-0.006340053	-0.004063471	0.023500000
21	-0.006202443	-0.004252174	0.023500000
22	-0.006097874	-0.004346651	0.023500000
23	-0.006059759	-0.004374312	0.023500000
24	-0.006018214	-0.004401216	0.023500000
25	-0.005882544	-0.004459657	0.023500000
26	-0.005638637	-0.004489216	0.023500000
27	-0.005296071	-0.004476638	0.023500000
28	-0.004861906	-0.004420042	0.023500000
29	-0.004350183	-0.004280758	0.023500000
30	-0.003772336	-0.004053965	0.023500000
31	-0.003140129	-0.003736437	0.023500000
32	-0.002466094	-0.003322918	0.023500000
33	-0.001761689	-0.002812232	0.023500000
34	-0.001037658	-0.002205116	0.023500000
35	-0.000304513	-0.001503317	0.023500000
36	0.000427010	-0.000709150	0.023500000
37	0.001145759	0.000174513	0.023500000
38	0.001840412	0.001143916	0.023500000
39	0.002500301	0.002193899	0.023500000
40	0.003116651	0.003317576	0.023500000
41	0.003683516	0.004506752	0.023500000
42	0.004197260	0.005753497	0.023500000
43	0.004653674	0.007052885	0.023500000
44	0.005042703	0.008406683	0.023500000
45	0.005181465	0.009542838	0.023500000
1	0.005954048	0.009970431	0.025885455
2	0.004932085	0.008972211	0.025885455
3	0.003911780	0.007983515	0.025885455
4	0.002913544	0.006996480	0.025885455
5	0.001934982	0.006021953	0.025885455
6	0.000977911	0.005067201	0.025885455
7	0.000046546	0.004137318	0.025885455
8	-0.000853515	0.003235997	0.025885455
9	-0.001715865	0.002365945	0.025885455
10	-0.002533604	0.001529135	0.025885455
11	-0.003299522	0.000726998	0.025885455
12	-0.004006263	-0.000039349	0.025885455
13	-0.004646491	-0.000768809	0.025885455
14	-0.005213177	-0.001459876	0.025885455
15	-0.005700062	-0.002110056	0.025885455
16	-0.006102465	-0.002715177	0.025885455
17	-0.006418543	-0.003268727	0.025885455
