# r_R	chord	pitch
2.108036890645586248e-01	3.530792871054676851e+01	3.306352194555387314e+01
2.258176676628426416e-01	3.862379972304277942e+01	3.221750292814014927e+01
2.408316462611266306e-01	4.187082548083515121e+01	3.163697061813517308e+01
2.558456248594106475e-01	4.417630704113012996e+01	3.113746054937232799e+01
2.708596034576946088e-01	4.566221740230822235e+01	3.066346767796009232e+01
2.858735820559786811e-01	4.654968347695132991e+01	3.019559612990672903e+01
3.008875606542626424e-01	4.701064101960268715e+01	2.972277801753535442e+01
3.159015392525466592e-01	4.719278344860026664e+01	2.923935471177529877e+01
3.309155178508306205e-01	4.721834043301018369e+01	2.874397755626337059e+01
3.459294964491146929e-01	4.717503517124076495e+01	2.823851453021894287e+01
3.609434750473987097e-01	4.710730768958995895e+01	2.772674112808799762e+01
3.759574536456826710e-01	4.701869304321036935e+01	2.721357385797619699e+01
3.909714322439666878e-01	4.687593030030596708e+01	2.670507512185057308e+01
4.059854108422507046e-01	4.661268719071060218e+01	2.620825986997038726e+01
4.209993894405347215e-01	4.618264271835406731e+01	2.572526996778097086e+01
4.360133680388186828e-01	4.561470736972734130e+01	2.525082124407920858e+01
4.510273466371026996e-01	4.496329688001786451e+01	2.478062292453018145e+01
4.660413252353867719e-01	4.428380137481396872e+01	2.431277162062830044e+01
4.810553038336707332e-01	4.361237391443685141e+01	2.384745244869230518e+01
4.960692824319546945e-01	4.295803906208050904e+01	2.338573955673394877e+01
5.110832610302388224e-01	4.231128910626405570e+01	2.292839314764476910e+01
5.260972396285227282e-01	4.165592829628504745e+01	2.247533012634720961e+01
5.411112182268067450e-01	4.098075379412651387e+01	2.202599855500741555e+01
5.561251968250907618e-01	4.028605135111571656e+01	2.157951766778945313e+01
5.711391754233746676e-01	3.958099672405869285e+01	2.113572180372622356e+01
5.861531540216587954e-01	3.887789329275945249e+01	2.069488947389442401e+01
6.011671326199428123e-01	3.818688093455112664e+01	2.025760152934423886e+01
6.161811112182268291e-01	3.751243729367461555e+01	1.982419339039691408e+01
6.311950898165108459e-01	3.685483386050952248e+01	1.939454628931959945e+01
6.462090684147947517e-01	3.621289849318423393e+01	1.896828952002936930e+01
6.612230470130787685e-01	3.558648923335543657e+01	1.854507539208053757e+01
6.762370256113627853e-01	3.497793122905478214e+01	1.812478128053673032e+01
6.912510042096468021e-01	3.439106500612575701e+01	1.770758943441606093e+01
7.062649828079308190e-01	3.382999719680887551e+01	1.729379666571882979e+01
7.212789614062149468e-01	3.329808468228881679e+01	1.688360143210667630e+01
7.362929400044988526e-01	3.279748840783517494e+01	1.647698122709371660e+01
7.513069186027828694e-01	3.232974058730557942e+01	1.607383552144063188e+01
7.663208972010668862e-01	3.189619747065872701e+01	1.567419147745256502e+01
7.813348757993507920e-01	3.149831789230362844e+01	1.527835608392590139e+01
7.963488543976349199e-01	3.113750671880722365e+01	1.488673020561048332e+01
8.113628329959188257e-01	3.081476950230602796e+01	1.449944050736833390e+01
8.263768115942029535e-01	3.053012806380963795e+01	1.411613762446266129e+01
8.372787017965388490e-01	3.034618093479313572e+01	1.384013302419769964e+01
8.481375672188459225e-01	3.017977062324260729e+01	1.356733973460990228e+01
8.589105528802462031e-01	3.002789640249700298e+01	1.329943729644166694e+01
8.695551427280429069e-01	2.988587762752752042e+01	1.303818606449027051e+01
8.800293274291575152e-01	2.974739505962660147e+01	1.278488372311791110e+01
8.902917701617744095e-01	2.960468160042481500e+01	1.253992381923978350e+01
9.003019697528922283e-01	2.944827997096349748e+01	1.230305511252644557e+01
9.100204205179499573e-01	2.926570103944808210e+01	1.207413622733577263e+01
9.194087681717156846e-01	2.904061968671150851e+01	1.185416965277880585e+01
9.284299611951278841e-01	2.875341368694823174e+01	1.164616776002619680e+01
9.370483970607145219e-01	2.838425772158619509e+01	1.145355790042302679e+01
9.452300627395026078e-01	2.791671785611813661e+01	1.127733369265700780e+01
9.529426689349059787e-01	2.733958860260867141e+01	1.111508459130453019e+01
9.601557775138255257e-01	2.664836858714915735e+01	1.096240043162550393e+01
9.668409216320562605e-01	2.584723771321385399e+01	1.081673917805928298e+01
9.729717180799151155e-01	2.495157868624797359e+01	1.068031284600809094e+01
9.785239714047172521e-01	2.398954524469428407e+01	1.056007196708702089e+01
9.834757693991726946e-01	2.299969476474180041e+01	1.046410635076965434e+01
9.878075695788586241e-01	2.202642756444761218e+01	1.039713682452824983e+01
9.915022763074774481e-01	2.111502031203954033e+01	1.035739415712433065e+01
9.945453082655217880e-01	2.030765621720760805e+01	1.033779865170613910e+01
9.969246559960824872e-01	1.964079873257106712e+01	1.033008982847373503e+01
9.986309293006875309e-01	1.914355492800498126e+01	1.032783219805352282e+01
1.000000000000000000e+00	1.873323328327379755e+01	1.032736010433516327e+01
