Node_ID	X(mm)	Y(mm)	Z(mm)
1	19.935728539	14.505388201	27.000000000
2	17.749526931	13.051135872	27.000000000
3	15.455596982	11.798149561	27.000000000
4	13.158773593	10.623583800	27.000000000
5	10.894706015	9.487587747	27.000000000
6	8.689443619	8.366473890	27.000000000
7	6.561641777	7.252621171	27.000000000
8	4.531088273	6.137750152	27.000000000
9	2.628079760	4.998020521	27.000000000
10	0.888076510	3.808482113	27.000000000
11	-0.673800122	2.582513945	27.000000000
12	-2.048654001	1.341268890	27.000000000
13	-3.222202411	0.099561343	27.000000000
14	-4.185365509	-1.121587510	27.000000000
15	-4.936987196	-2.294807460	27.000000000
16	-5.476902406	-3.392749160	27.000000000
17	-5.798532223	-4.388514863	27.000000000
18	-5.884792642	-5.247274439	27.000000000
19	-5.777027313	-5.914874811	27.000000000
20	-5.595913405	-6.366265168	27.000000000
21	-5.437585028	-6.612787901	27.000000000
22	-5.376708779	-6.689535149	27.000000000
23	-5.310880354	-6.764901375	27.000000000
24	-5.091604844	-6.968711437	27.000000000
25	-4.674577126	-7.239071780	27.000000000
26	-4.038697876	-7.511489112	27.000000000
27	-3.174856920	-7.691147446	27.000000000
28	-2.105934734	-7.701466744	27.000000000
29	-0.868822746	-7.524601397	27.000000000
30	0.503343275	-7.147101537	27.000000000
31	1.977476568	-6.555028833	27.000000000
32	3.518417899	-5.736064867	27.000000000
33	5.090312009	-4.683278621	27.000000000
34	6.672720519	-3.414627520	27.000000000
35	8.242938839	-1.941564031	27.000000000
36	9.781165908	-0.277853811	27.000000000
37	11.276105073	1.556181880	27.000000000
38	12.751658810	3.516271395	27.000000000
39	14.211052571	5.579467419	27.000000000
40	15.667429156	7.718727941	27.000000000
41	17.132849677	9.910461307	27.000000000
42	18.589152642	12.154726939	27.000000000
43	19.935728539	14.505388201	27.000000000
1	20.970694022	13.949389053	29.550000000
2	18.709505660	12.575939122	29.550000000
3	16.367266948	11.376362347	29.550000000
4	14.032858451	10.237045513	29.550000000
5	11.740764257	9.117413010	29.550000000
6	9.516663497	7.994541728	29.550000000
7	7.374762006	6.870547160	29.550000000
8	5.329545510	5.747813903	29.550000000
9	3.404529535	4.613802294	29.550000000
10	1.634566408	3.441496970	29.550000000
11	0.029455313	2.248404806	29.550000000
12	-1.406751094	1.057460382	29.550000000
13	-2.662963879	-0.118864620	29.550000000
14	-3.726979550	-1.268744870	29.550000000
15	-4.591741815	-2.374185743	29.550000000
16	-5.250457748	-3.415818865	29.550000000
17	-5.693455367	-4.372418364	29.550000000
18	-5.902528632	-5.216553733	29.550000000
19	-5.894883853	-5.897428838	29.550000000
20	-5.769774941	-6.370741633	29.550000000
21	-5.630125470	-6.630379700	29.550000000
22	-5.572143895	-6.710201130	29.550000000
23	-5.507500122	-6.788140374	29.550000000
24	-5.284116057	-6.992470434	29.550000000
25	-4.848888865	-7.244092521	29.550000000
26	-4.188762271	-7.477186578	29.550000000
27	-3.306678091	-7.619319609	29.550000000
28	-2.224440783	-7.622714525	29.550000000
29	-0.969430309	-7.464688489	29.550000000
30	0.430590800	-7.126088383	29.550000000
31	1.945280294	-6.587089886	29.550000000
32	3.539686794	-5.827669376	29.550000000
33	5.177710263	-4.836437995	29.550000000
34	6.837549091	-3.629068086	29.550000000
35	8.492938766	-2.212422176	29.550000000
36	10.115577022	-0.592369809	29.550000000
37	11.688996790	1.212543229	29.550000000
38	13.241620680	3.150027378	29.550000000
39	14.785257034	5.189102831	29.550000000
40	16.338176657	7.297810071	29.550000000
41	17.914390714	9.449830465	29.550000000
42	19.493034672	11.647330112	29.550000000
43	20.970694022	13.949389053	29.550000000
1	22.009663735	13.530052516	32.100000000
2	19.677101582	12.206272664	32.100000000
3	17.284557394	11.029015967	32.100000000
4	14.907983622	9.896613367	32.100000000
