# r_R	chord (mm)	pitch(deg)
1.733333333333333393e-01	3.273820252323435653e+01	4.123646058773963574e+01
2.193904761904761913e-01	3.469173544014270050e+01	3.596319636176514223e+01
2.654476190476190434e-01	3.740332357703648114e+01	3.257951319026159354e+01
3.115047619047619509e-01	4.000529552387145316e+01	3.021855131663831884e+01
3.575619047619048030e-01	4.150725741182245798e+01	2.829506089939481583e+01
4.036190476190476550e-01	4.197273468256150153e+01	2.648180482353851417e+01
4.496761904761905071e-01	4.206806128696376135e+01	2.476259025153553850e+01
4.957333333333333036e-01	4.105696743817991745e+01	2.326277809354675696e+01
5.417904761904762667e-01	3.955215769470845544e+01	2.187568187340594861e+01
5.878476190476190633e-01	3.770399606230940748e+01	2.059245937843194341e+01
6.339047619047619708e-01	3.553485960958150258e+01	1.940835834982742369e+01
6.799619047619048784e-01	3.331847845096365290e+01	1.830768242686645664e+01
7.260190476190476749e-01	3.122488409738479476e+01	1.728822182324078227e+01
7.720761904761904715e-01	2.949046774394788173e+01	1.633692999258896350e+01
8.181333333333333790e-01	2.837287590182869934e+01	1.546918721933581686e+01
8.536137598973331242e-01	2.808301122775641190e+01	1.483283310967414792e+01
8.877306935661309906e-01	2.825547459410936924e+01	1.429866504264495042e+01
9.191730397118317297e-01	2.851745221195753999e+01	1.397853901459478898e+01
9.467324866051268772e-01	2.778325210937677170e+01	1.379772181725585511e+01
9.693499401574229291e-01	2.514343956653610590e+01	1.364932731062118165e+01
9.861562243127194316e-01	2.100450299770507101e+01	1.363240181205054036e+01
1.000000000000000000e+00	1.596054175097094863e+01	1.377090957335648191e+01
