# r_R	chord (mm)	pitch(deg)
1.733333333333333393e-01	3.273820252323435653e+01	1.187152050849386114e+03
2.193904761904761913e-01	3.469173544014270050e+01	1.127311377563333053e+03
2.654476190476190434e-01	3.740332357703648114e+01	1.069360285331751356e+03
3.115047619047619509e-01	4.000529552387145316e+01	1.012431914398049571e+03
3.575619047619048030e-01	4.150725741182245798e+01	9.559410149207276390e+02
4.036190476190476550e-01	4.197273468256150153e+01	8.995603497847929475e+02
4.496761904761905071e-01	4.206806128696376135e+01	8.432737261527116743e+02
4.957333333333333036e-01	4.105696743817991745e+01	7.872065049346444994e+02
5.417904761904762667e-01	3.955215769470845544e+01	7.312519996544251626e+02
5.878476190476190633e-01	3.770399606230940748e+01	6.754013680993728030e+02
6.339047619047619708e-01	3.553485960958150258e+01	6.196498580106898544e+02
6.799619047619048784e-01	3.331847845096365290e+01	5.639817730276504335e+02
7.260190476190476749e-01	3.122488409738479476e+01	5.083949033639465256e+02
7.720761904761904715e-01	2.949046774394788173e+01	4.528762024732162672e+02
8.181333333333333790e-01	2.837287590182869934e+01	3.974410506398846792e+02
8.536137598973331242e-01	2.808301122775641190e+01	3.422372874701446221e+02
8.877306935661309906e-01	2.825547459410936924e+01	2.871357103430370330e+02
9.191730397118317297e-01	2.851745221195753999e+01	2.322481752549084320e+02
9.467324866051268772e-01	2.778325210937677170e+01	1.774999489974910887e+02
9.693499401574229291e-01	2.514343956653610590e+01	1.227841454307780111e+02
9.861562243127194316e-01	2.100450299770507101e+01	6.819981087212894977e+01
1.000000000000000000e+00	1.596054175097094863e+01	1.377090957335648191e+01
