# r_R	chord (mm)	pitch(deg)
1.694352159468438535e-01	3.263503970642455698e+01	4.130916844788110609e+01
1.920351862563863810e-01	3.346311154664432053e+01	3.838733221218220848e+01
2.145302760128934005e-01	3.448124991241170534e+01	3.602983959089925037e+01
2.369184918689858088e-01	3.571608709636537782e+01	3.415992773711393937e+01
2.591977531514162991e-01	3.707233457534970000e+01	3.262062900111633468e+01
2.813658857609460662e-01	3.843383987172037308e+01	3.132797622123073111e+01
3.034206154790461962e-01	3.966198770225382475e+01	3.021781987788989454e+01
3.253595606066376211e-01	4.064148644903361429e+01	2.922872361504191474e+01
3.471802238483894798e-01	4.131430989965985390e+01	2.831221810646855275e+01
3.688799833421827490e-01	4.169756909773712295e+01	2.743543499860736290e+01
3.904560827167468107e-01	4.189258130089839227e+01	2.658196157423303063e+01
4.119056200405510904e-01	4.203012791864449582e+01	2.575106300715470198e+01
4.332255355010246611e-01	4.212842998714686615e+01	2.494112538815343427e+01
4.544125976240614428e-01	4.199153440328493758e+01	2.418761437523844648e+01
4.754633878082865639e-01	4.157080827791867250e+01	2.349226951795877127e+01
4.963742829050498684e-01	4.098510636387942441e+01	2.283221287901347196e+01
5.171414355214134506e-01	4.032881746911410659e+01	2.219572710091171075e+01
5.377607516566982326e-01	3.962809083932777554e+01	2.158187104777555376e+01
5.582278651996698260e-01	3.886619539809006341e+01	2.099372307562216733e+01
5.785381087081807872e-01	3.802508850831318199e+01	2.043205845571536372e+01
5.986864797592461596e-01	3.711519011846532834e+01	1.989506535084693795e+01
6.186676019858329267e-01	3.616613493135331936e+01	1.937997107859125734e+01
6.384756796943005241e-01	3.520730034258849628e+01	1.888502643842896234e+01
6.581044446654866764e-01	3.425613156448712004e+01	1.840954652291683047e+01
6.775470933574654353e-01	3.332258448569744047e+01	1.795326601006394895e+01
6.967962122124081725e-01	3.241772096436479700e+01	1.751617822547598990e+01
7.158436880701828375e-01	3.155792279905000086e+01	1.709746645986420077e+01
7.346805997276688593e-01	3.076142194537809971e+01	1.669534250953506671e+01
7.532970853342788597e-01	3.004420404051204585e+01	1.630795956457555818e+01
7.716821783935315926e-01	2.941959233306519650e+01	1.593601336213290764e+01
7.898236023504042747e-01	2.890122187597663483e+01	1.558302099302088095e+01
8.077075096005206234e-01	2.850396663573998168e+01	1.525076821335797383e+01
8.253181444480306439e-01	2.823843580638189721e+01	1.493334612557295138e+01
8.426373996563125690e-01	2.810388718661510055e+01	1.462145668445302960e+01
8.596442202429344093e-01	2.808900374793174137e+01	1.432052318331576757e+01
8.763137812926742320e-01	2.817729360137624539e+01	1.405527631209527684e+01
8.926163193354804681e-01	2.834054240511956380e+01	1.384528667552141101e+01
9.085154093172971290e-01	2.849484590085719660e+01	1.368778541868676690e+01
9.239653061258104039e-01	2.846724029775087317e+01	1.356998647938706171e+01
9.389065984353099914e-01	2.803945063366981572e+01	1.347348721916267600e+01
9.532585381543455805e-01	2.697189065403093267e+01	1.338326973138671327e+01
9.669039772088879880e-01	2.499157150517474690e+01	1.330887092767163082e+01
9.796545970304906259e-01	2.195824948570338009e+01	1.326405200220865943e+01
9.911441489922035997e-01	1.813776853802283995e+01	1.321354703132879038e+01
1.000000000000000000e+00	1.450231189810227939e+01	1.295365671630254489e+01
