# r_R	chord (mm)	pitch(deg)
1.733333333333333393e-01	3.273820252323435653e+01	5.523646058773962864e+01
1.981333333333333280e-01	3.368217743990319235e+01	5.211172008436158620e+01
2.229333333333333167e-01	3.487994652670150941e+01	4.964852771919960617e+01
2.477333333333333609e-01	3.631132715640596587e+01	4.772520278811227712e+01
2.725333333333333496e-01	3.784048903480671555e+01	4.616558521007094384e+01
2.973333333333333384e-01	3.928757374260958102e+01	4.487415991153306294e+01
3.221333333333333826e-01	4.047066788679913429e+01	4.375337904738035633e+01
3.469333333333333713e-01	4.127928569785824919e+01	4.272304918142562258e+01
3.717333333333333600e-01	4.171652883966004310e+01	4.173052820102942206e+01
3.965333333333333488e-01	4.192613042503204213e+01	4.075599649043952866e+01
4.213333333333333375e-01	4.207240258862208293e+01	3.980432562316205747e+01
4.461333333333333262e-01	4.209790338673055032e+01	3.888668546789309488e+01
4.709333333333334259e-01	4.171788170175715038e+01	3.804945595011767523e+01
4.957333333333333036e-01	4.105696743817992456e+01	3.726277809354674986e+01
5.205333333333334034e-01	4.027727349743187091e+01	3.650457340818039853e+01
5.453333333333334476e-01	3.942488211027018252e+01	3.577301896664935299e+01
5.701333333333333808e-01	3.846583376131213328e+01	3.507295772301312553e+01
5.949333333333334251e-01	3.738384063662491030e+01	3.440447508126349874e+01
6.197333333333333583e-01	3.621764409394330642e+01	3.376353061113680809e+01
6.445333333333334025e-01	3.502081212436925028e+01	3.314708270255843559e+01
6.693333333333333357e-01	3.382551870767726854e+01	3.255439603945747251e+01
6.941333333333333799e-01	3.265179767812344380e+01	3.198563207453421953e+01
7.189333333333333131e-01	3.153009087395901489e+01	3.144019189932293301e+01
7.437333333333333574e-01	3.050155172879383514e+01	3.091489063164747009e+01
7.685333333333334016e-01	2.960548741189053601e+01	3.040765206838830181e+01
7.933333333333334458e-01	2.888066682225406723e+01	2.992451117013221662e+01
8.181333333333333790e-01	2.837287590182869579e+01	2.946918721933580088e+01
8.371435765196104661e-01	2.815324470586305949e+01	2.912800309204387617e+01
8.559455395033899183e-01	2.808170205038296885e+01	2.879176267134058875e+01
8.743332240436572089e-01	2.814156283098406064e+01	2.848701769199785261e+01
8.921051708207187181e-01	2.830182285586278113e+01	2.824420969762601530e+01
9.090666666666668005e-01	2.847701225750893173e+01	2.806407089686872425e+01
9.250318778835910916e-01	2.848956293690490327e+01	2.793554014408731234e+01
9.398258862764642396e-01	2.814088468792916586e+01	2.784066139252907846e+01
9.532866055934887672e-01	2.728439852493297835e+01	2.775505200503742032e+01
9.652665573769904084e-01	2.583498438970129030e+01	2.767405589322702752e+01
9.756344867682632538e-01	2.384884007330810007e+01	2.762172593844482904e+01
9.842768005632676065e-01	2.157579802415711612e+01	2.762375347672506720e+01
9.910988117635451955e-01	1.937116565523190914e+01	2.767008921740787386e+01
9.960257769867880695e-01	1.755675130100436476e+01	2.772458954595900948e+01
1.000000000000000000e+00	1.596054175097094685e+01	2.777090957335650145e+01
